"Reference","Title","Obligation","Requirement","Rationale","Informative Note","Compliance Note","Filters","Complete"
"FF-40502","[FHIR StructureDefinition (Profile)] Resource Name","Mandatory","<div>The [name] of the profile<b> SHALL</b> follow the format&#58; [ig]_[resource-type]_[use case (optional)]_[sub use case (optional)]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58; Represents short name specific to the FHIR Implementation Guide. Example&#58; Use “MHR” as the prefix for all My Health Record specific profiles.&#160;</li><li>[&lt;resource-type&gt;]&#58; This is the value in StructureDefinition.type, the FHIR resource type used in the profile.&#160;</li><li>[&lt;use case&gt;]&#58; While drafting any use-case specific profile, the use case can be included in the name.&#160;</li><li>[&lt;sub use case&gt;]&#58; Optionally, a sub use case name can be included if applicable.&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined custom FHIR profiles promotes improved readability and interoperability.&#160;<br></div>",,,"[""Structure Definition"",""Profile"",""Convention""]","Yes"
"FF-40601","[FHIR CapabilityStatement] Resource Url","Mandatory","<div>The url element<b> SHALL </b>be populated using a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/CapabilityStatement/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the resource&#160;</li><li>The [name] is the value of the name element of the capability statement.&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the server’s capability statement&#160;ensures consistency and&#160;easy retrieval by the implementing software&#160;applications.&#160;<br></div>",,,"[""Capability Statement"",""Convention""]","Yes"
"FF-40602","[FHIR CapabilityStatement] Resource Name","Mandatory","<div>The [name] of the capability statement<b> SHALL</b> follow the format&#58; [ig (optional)]_[&lt;use case&gt;(optional)]_CapabilityStatement&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58; represents specific IG. Example&#58; Use “MOF” as the prefix for all My Health Record On FHIR specific profiles.&#160;</li><li>[&lt;use case&gt;]&#58; describes the functional context of the capability statement.&#160;</li><li>Either the &lt;ig&gt; or the &lt;user case&gt; or both <b>SHALL </b>be present.&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for capability statement promotes improved readability and interoperability.&#160;<br></div>",,,"[""Capability Statement"",""Convention""]","Yes"
"FF-40701","[FHIR SearchParameter] Resource Url","Mandatory","<div>The <i>url </i>element <b>SHALL </b>be populated using a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/SearchParameter/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the resource&#160;</li><li>The [name] is the value of the name element of the search parameter.&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the&#160;custom search parameter profiles&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Search Parameter"",""Convention""]","Yes"
"FF-40702","[FHIR SearchParameter] Resource Name","Mandatory","<div>The [name] of the capability statement<b> SHALL </b>follow the format&#58; [ig (optional)]_[&lt;resource-type&gt;]_[&lt;use case&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58; represents specific IG. Example&#58; Use “MOF” as the prefix for all My Health Record On FHIR specific profiles.&#160;</li><li>&lt;resource-type&gt;&#58; FHIR resource type.&#160;</li><li>[&lt;use case&gt;]&#58; describes the functional context of the search parameter&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined search&#160;parameters&#160;promotes improved readability and interoperability.&#160;<br></div>","<div>
</div>",,"[""Search Parameter"",""Convention""]","Yes"
"FF-40801","[FHIR OperationDefinition] Resource Url","Mandatory","<div>The&#160;url&#160;element&#160;<b>SHALL</b>&#160;be populated using&#160;a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/OperationDefinition/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the&#160;canonical&#160;base URI of the&#160;resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of the operation.&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>A globally unique URI&#160;for the agency defined custom FHIR operations&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Operation Definition"",""Convention""]","Yes"
"FF-40802","[FHIR OperationDefinition] Resource Name","Mandatory","<div>The [name] of&#160;the&#160;capability statement&#160;<b>SHALL&#160;</b>follow the&#160;format&#58;&#160;[ig (optional)]_[&lt;use case&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58;&#160;represents specific IG. Example&#58;&#160;Use “MOF”&#160;as the&#160;prefix for all&#160;My Health&#160;Record&#160;On&#160;FHIR&#160;specific&#160;profiles.&#160;</li><li>[&lt;use case&gt;]&#58;&#160;describes the functional&#160;context of the&#160;operation&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined FHIR operations promotes improved readability and interoperability.&#160;<br></div>",,,"[""Operation Definition"",""Convention""]","Yes"
"FF-41001","[CodeSystem] Resource Url","Mandatory","<div>The&#160;url&#160;element&#160;<b>SHALL&#160;</b>be populated using&#160;a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/CodeSystem/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is&#160;the canonical base URI of the&#160;resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of the CodeSystem.&#160;</li><li>CodeSystem's&#160;identifier SHALL&#160;be aligned with the NCTS Complete Code System profile&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the CodeSystem resources&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Code System"",""Convention""]","Yes"
"FF-41002","[CodeSystem] Resource Name","Mandatory","<div>The [name] of the&#160;CodeSystem&#160;<b>SHALL</b>&#160;follow the format&#58;&#160;[&lt;use-case&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[&lt;use case&gt;]&#58; describes the functional context of the&#160;code system&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined CodeSystem resources promotes improved readability and interoperability.&#160;
</div>","<div>While the&#160;<i>ValueSet</i>&#160;name is typically&#160;suffixed from&#160;the IG name, the Code System name should remain more generic and does not require the IG&#160;in the name.&#160;<br></div>",,"[""Code System"",""Convention""]","Yes"
"FF-41003","[CodeSystem] NCTS Complete Code System Profile ","Mandatory","<div>f the FHIR&#160;<i>CodeSystem</i>&#160;resource has a content element value of&#160;<i>complete</i>, it&#160;<b>SHALL</b>&#160;conform to&#160;the latest&#160;available&#160;version&#160;of&#160;the&#160;NCTS Complete Code System&#160;FHIR&#160;profile&#160;for&#160;FHIR R4.&#160;
</div>","<div>The&#160;<a href=""https&#58;//www.healthterminologies.gov.au/specs/v3/content-types/complete-code-system/"">NCTS Complete Code System FHIR profile</a>&#160;ensures best&#160;practices&#160;are followed&#160;for CodeSystem resources that define complete code systems&#160;and better compatibility with the NCTS.&#160;&#160;
</div>","<div>The url for&#160;the NCTS Complete Code System FHIR profile is&#160;<a href=""https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/complete-code-system-4"">https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/complete-code-system-4</a>&#160;
</div>",,"[""Code System"",""Convention""]","Yes"
"FF-41101","[ValueSet] Resource Url","Mandatory","<div>The<i>&#160;url</i>&#160;element<b>&#160;SHALL</b>&#160;be populated using&#160;a&#160;globally&#160;unique URI, structured in the following format&#58;&#160;</div><div>[base]/<i>ValueSet</i>/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the&#160;resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of&#160;the&#160;<i>ValueSet</i>.&#160;</li></ul></div><div>
</div>","<div></div></div><div>A globally unique URI&#160;for the&#160;ValueSet resources&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;</div><div></div><div class=""ExternalClassD3D8F1AA6646443FA26527617529755C""><div>
</div>",,,"[""Value Set"",""Convention""]","Yes"
"FF-41102","[ValueSet] Resource Name","Mandatory","<div>The [name] of the&#160;ValueSet <b>SHALL</b>&#160;follow the&#160;format&#58;&#160;[ig]_[&lt;use-case&gt;]&#160;</div><div>where&#160;</div><div><ul><li>[ig]&#58;&#160;represents&#160;specific IG. Example&#58;&#160;Use “MOF”&#160;as the&#160;prefix for all&#160;My Health Record&#160;On&#160;FHIR&#160;specific&#160;profiles.&#160;</li><li>[&lt;use case&gt;]&#58;&#160;describes the functional&#160;context of the&#160;value set&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern&#160;for agency defined&#160;<i>ValueSet</i> resources promotes improved readability and interoperability.&#160;<br></div>",,,"[""Value Set"",""Convention""]","Yes"
"FF-41103","[ValueSet] NCTS Composed Value Set profile ","Mandatory","<div>If the FHIR&#160;ValueSet&#160;resource&#160;is a value set definition, it&#160;SHALL&#160;conform to version 4.1.0 of the NCTS&#160;Composed Value Set&#160;FHIR profile.&#160;
</div>","<div>The&#160;<a href=""https&#58;//www.healthterminologies.gov.au/specs/v3/content-types/composed-value-set/"">NCTS Composed Value Set&#160;FHIR profile</a>&#160;ensures best practicses are followed for&#160;ValueSet definition&#160;resources&#160;and better compatibility with the NCTS.&#160;&#160;
</div>","<div>The url for the NCTS Composed Value Set&#160;FHIR profile is&#160;<a href=""https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/composed-value-set-4"">https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/composed-value-set-4</a>&#160;
</div>",,"[""Value Set"",""Convention""]","Yes"
"FF-41201","[ConceptMap] Resource Url","Mandatory","<div>The&#160;url&#160;element&#160;<b>SHALL&#160;</b>be populated using&#160;a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/ConceptMap/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the&#160;resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of the ConceptMap.&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the ConceptMap resources&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Concept Map"",""Convention""]","Yes"
"FF-41202","[ConceptMap] Resource Name","Mandatory","<div>The [name] of the&#160;concept map&#160;SHALL&#160;follow the&#160;format&#58; [ig (optional)]_[&lt;use-case&gt;]_[&lt;source concept standard&gt;_To_&lt;target concept standard&gt;(optional)]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58;&#160;Represents&#160;short name&#160;specific&#160;to the FHIR specification. Example&#58;&#160;Use “MHR”&#160;as the&#160;prefix for all&#160;My Health Record specific&#160;ConceptMaps.&#160;</li><li>[&lt;use-case&gt;]&#58;&#160;describes the functional&#160;context of the&#160;ConceptMap.&#160;&#160;</li><li>Optional Source and Target&#160;contexts&#58;&#160;</li><ul><li>&lt;source concept standard&gt;&#58; source concept systems name. e.g. HL7 v2&#160;</li><li>&lt;target concept standard&gt;&#58; target concept systems name. e.g. SNOMED-CT AU&#160;</li></ul></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined ConceptMap resources promotes improved readability and interoperability.&#160;<br></div>",,,"[""Concept Map"",""Convention""]","Yes"
"FF-41203","[ConceptMap] Resource Example","Recommended","<div>The following&#160;additional&#160;policy requirements&#160;<b>SHOULD&#160;</b>be followed&#160;while&#160;providing ConceptMap&#160;specific examples&#58;&#160;</div><div><ul><li>Provide example to demonstrate multiple sources&#160;and targets&#160;combination&#160;</li><li>Provide&#160;example to demonstrate complex ConceptMap&#160;</li><li>Provide&#160;separate&#160;examples&#160;to demonstrate the following relationship between source and target&#160;</li><ul><li>related-to&#160;</li><li>equivalent &#160;</li><li>source-is-narrower-than-target&#160;</li><li>source-is-broader-than-target &#160;</li><li>not-related-to&#160;</li></ul></ul></div><div>
</div>","<div>Multiple examples of ConceptMap resources help&#160;implementers&#160;better understand how to use them.&#160;<br></div>",,,"[""Concept Map"",""Convention""]","Yes"
"FF-41204","[ConceptMap] NCTS General Concept Map profile ","Mandatory","<div>FHIR&#160;ConceptMap&#160;resources<b>&#160;SHALL&#160;</b>conform to version 4.0.0 of the NCTS&#160;General Concept Map&#160;FHIR profile.&#160;
</div>","<div>The&#160;<a href=""https&#58;//www.healthterminologies.gov.au/specs/v3/content-types/general-concept-map/"">NCTS&#160;General&#160;Concept Map&#160;FHIR profile</a>&#160;ensures best practicses are followed for&#160;ConceptMap&#160;resources and better compatibility with the NCTS.&#160;&#160;
</div>","<div>The url for the NCTS&#160;General Concept Map&#160;FHIR profile is&#160;<a href=""https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/general-concept-map-4"">https&#58;//healthterminologies.gov.au/fhir/StructureDefinition/general-concept-map-4</a>&#160;
</div>",,"[""Concept Map"",""Convention""]","Yes"
"FF-41301","[StructureMap] Resource Url","Mandatory","<div>The&#160;<i>url&#160;</i>element&#160;<b>SHALL&#160;</b>be populated using&#160;a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/StructureMap/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the canonical base URI of the&#160;resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of the StructureMap&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>A globally unique URI&#160;for the StructureMap resources&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Structure Map"",""Convention""]","Yes"
"FF-41302","[Structure Map] Resource Name","Mandatory","<div>The [name] of the&#160;structure&#160;map<b>&#160;SHALL</b>&#160;follow the&#160;format&#58;&#160;[ig (optional)]_Transform_[&lt;source structure&gt;]_To_[&lt;target structure&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58;&#160;Represents&#160;short&#160;name&#160;specific&#160;to the FHIR specification. Example&#58;&#160;Use “MHR”&#160;as the&#160;prefix for all&#160;My Health Record specific&#160;StructureMaps.&#160;</li><li>Source and Target structures&#58;&#160;</li><li>&lt;source&#160;structure&gt;&#58; source&#160;StructureDefinition. e.g.&#160;ActivityDefinition&#160;</li><li>&lt;target&#160;structure&#160;&gt;&#58; target StructureDefinition. e.g.&#160;SupplyRequest&#160;</li></ul></div><div>
</div>","<div>A consistent naming pattern for agency defined StructureMap resources promotes improved readability and interoperability.&#160;<br></div>",,,"[""Structure Map"",""Convention""]","Yes"
"FF-41303","[Structure Map] Resource Example","Recommended","<div>The&#160;following additional policy requirements<b>&#160;SHOULD</b>&#160;be followed while providing StructureMap specific examples&#58;&#160;</div><div><ul><li>Provide example&#160;to demonstrate multiple sources and targets combinations&#160;</li><li>Provide example to demonstrate complex StructureMap&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>Multiple examples of&#160;StructureMap resources help&#160;implementers&#160;better understand how to use them.&#160;<br></div>",,,"[""Structure Map"",""Convention""]","Yes"
"FF-41401","[Questionnaire] Resource Url","Mandatory","<div>The&#160;<i>url</i>&#160;element&#160;<b>SHALL</b>&#160;be populated using&#160;a globally unique URI, structured in the following format&#58;&#160;</div><div>[base]/Questionnaire/[name]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[base] is the&#160;canonical&#160;base URI of the resource&#160;</li><li>The&#160;[name]&#160;is&#160;the value of the name element of the Questionnaire&#160;</li></ul></div><div>
</div>","<div>A globally unique URI&#160;for the Questionnaire instances&#160;ensures consistency and alignment with the&#160;FHIR IG publication guidelines.&#160;<br></div>",,,"[""Questionaire"",""Convention""]","Yes"
"FF-41402","[Questionnaire] Resource Name","Mandatory","<div>The [name] of the&#160;Questionnaire&#160;<b>SHALL</b>&#160;follow the&#160;format&#58;&#160;[ig&#160;(optional)]_[&lt;use-case&gt;]&#160;</div><div>Where&#58;&#160;</div><div><ul><li>[ig]&#58;&#160;Represents&#160;short name&#160;specific&#160;to the FHIR specification. Example&#58;&#160;Use “CHAP”&#160;as the&#160;prefix for all&#160;CHAP&#160;Questionnaire.&#160;</li><li>[&lt;use-case&gt;]&#58;&#160;describes the functional&#160;context of the&#160;Questionnaire.&#160;&#160;</li></ul></div><div>
</div><div>
</div>","<div>A consistent naming pattern for agency defined Questionnaires promotes improved readability and interoperability.&#160;<br></div>",,,"[""Questionaire"",""Convention""]","Yes"
"FF-41403","[Questionnnaire] Limit Questionnaire Nesting Level","Recommended","<div>Where possible,&#160;nested Questionnaire above 2 levels&#160;<b>SHOULD</b>&#160;be&#160;avoided.
</div>","<div>Deep nesting can lead to&#58;&#160;</div><div><ul><li>Increased complexity in rendering and user interface design.&#160;</li><li>Difficulty in&#160;maintaining&#160;and validating the structure.&#160;</li><li>Challenges in mapping responses to data models or clinical concepts&#160;and data extraction.&#160;</li><li>Limiting levels helps optimise performance, especially in mobile or low-resource environments.&#160;</li></ul></div><div>
</div>","<div>Where possible,&#160;apply&#160;<a href=""https&#58;//build.fhir.org/ig/HL7/sdc/StructureDefinition-sdc-questionnaire.html"">SDC Questionnaire</a>&#160;model.
</div>",,"[""Questionaire"",""Recommendation""]","Yes"
"FF-41404","[Questionnaire] Support for Data Extraction","Recommended","<div>The&#160;<a href=""https&#58;//build.fhir.org/ig/HL7/sdc/OperationDefinition-QuestionnaireResponse-extract.html"">$extract</a>&#160;operation and&#160;<a href=""https&#58;//build.fhir.org/ig/HL7/sdc/extraction.html#template-extract"">template extraction</a>&#160;process&#160;SHOULD&#160;be&#160;leveraged&#160;to extract data&#160;where applicable.&#160;&#160;
</div>","<div>Data extraction enables better use of the collected data and supports the followings&#58;&#160;</div><div><ul><li>Clinical decision support&#160;&#160;</li><li>Analytics&#160;&#160;</li><li>Integration with EHRs or other systems&#160;</li></ul></div><div>
</div>","<div><ul><li>Minimising nesting in the Questionnaire resources in such a way&#160;so that specific answers can be extracted into other FHIR resources.&#160;</li><li>Apply&#160;StructureMap&#160;based extraction where template extraction&#160;can’t&#160;be achieved.&#160;</li></ul></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>",,"[""Questionaire"",""Accessibility"",""Recommendation""]","Yes"
"FF-41405","[Questionnaire] Multiple Language Support","Recommended","<div>Where applicable, multi-language support&#160;for Questionnaire resources <b>SHOULD</b>&#160;be&#160;supported.
</div>","<div>Enabling multilingual support in Questionnaires enhances accessibility across diverse healthcare settings.&#160;
</div>","<div><ul><li>Leverage&#160;<a href=""https&#58;//hl7.org/fhir/R4/resource-definitions.html#Resource.language"">Resource.language</a>&#160;and&#160;<a href=""http&#58;//hl7.org/fhir/StructureDefinition/language"">Human Language extension</a>&#160;to support&#160;the language&#160;of the questionnaire content.&#160;</li><li>Prefer using&#160;a&#160;‘xml&#58;lang’&#160;attribute on a top-level ‘div’ within the Narrative section&#160;and display all the language so that language aware system can filter based on the logged in user’s language choice.&#160;</li></ul></div><div>
</div>",,"[""Questionaire"",""Accessibility"",""Recommendation""]","Yes"
"FF-41406","[Questionanaire] Favour Simplicity","Recommended","<div>Favour simplicity over complexity, where the same outcome can be achieved (e.g.&#58; multiple&#160;enableWhen&#160;vs&#160;enableWhenExpression) and focus on the structure of Questionnaire than rendering.&#160;
</div>","<div>Simplicity is likely to be less compute intensive as well as being more readable to future authors.&#160;
</div>","<div><ul><li>In line with standard programming principles, variables must be declared before they are referenced. &#160;</li><li>Where applicable, prefer using&#160;FHIRPath&#160;functions with the smallest footprint.&#160;&#160;</li></ul></div><div>
</div>",,"[""Questionaire"",""Recommendation""]","Yes"
"FF-41407","[Questionnaire] Use of ValueSet","Recommended","<div>ValueSet resources&#160;<b>SHALL</b>&#160;be&#160;used&#160;wherever lists&#160;of predefined Coding&#160;values are reused throughout a Questionnaire.&#160;
</div>","<div>Enhance&#160;re-usability,&#160;brevity&#160;and performance.
</div>","<div>Using&#160;a&#160;ValueSet&#160;provides&#160;a reusable solution for populating dropdown lists with the same set of options across multiple questions.&#160;
</div>",,"[""Questionaire"",""Value Set"",""Recommendation""]","Yes"
"FF-41408","[Questionnaire] Choice Data Type Design","Recommended","<div>ValueCoding&#160;resources&#160;<b>SHALL</b>&#160;be&#160;used&#160;for&#160;items of type Choice.&#160;
</div>","<div>Expressions using the answer can rely upon the code, and the display can be separated from the interactivity expressions. However, when using&#160;valueString, each of the dependant expressions need to also be updated when a small wording change is required by the business.&#160;
</div>","<div>Using&#160;valueCoding&#160;can buffer against any&#160;possible wording&#160;changes to the possible answers.&#160;
</div>",,"[""Questionaire"",""Recommendation""]","Yes"
"FF-41409","[Questionnaire] Use of Terminology Server","Recommended","<div>Where possible, terminology resources used in the Questionnaire resources&#160;<b>SHOULD</b>&#160;be fetched from a terminology server than using it as&#160;contained&#160;resource.&#160;
</div>","<div>Decoupling the Questionnaire from the terminology&#160;resources&#160;offers greater flexibility and easier maintenance.&#160;
</div>","<div>Prefer using&#160;valueCoding&#160;whiling designing items of type&#160;Choice.&#160;
</div>",,"[""Questionaire"",""Terminology"",""Recommendation""]","Yes"
"FF-41501","[Example] Must Include Example","Recommended","<div>Each conformance resource in the specification&#160;SHALL&#160;include&#160;at least one example conformant to the specification in context.&#160;
</div>","<div>Inclusion of&#160;examples for each conformance resource in the specification ensures clarity in implementation.&#160;
</div>","<div>Include Agency profile and specification conformant examples only. Avoid&#160;including&#160;examples for conformant resources that are derived from another implementation guide or specification.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41502","[Example] OperationDefintion Interaction Example","Recommended","<div>Each&#160;OperationDefinition&#160;<b>SHALL</b>&#160;be accompanied by&#160;pairs&#160;of&#160;request and&#160;corresponding&#160;response examples which cover the distinct ways the operation&#160;can be invoked.<br></div><div class=""ExternalClassA01EA6AE391F471184E9E436E29015E4""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div></div>","<div>OperationDefinition&#160;instances are not&#160;used to provide examples of custom operations&#160;or named queries; rather, they are included in the specification&#160;defined&#160;FHIR&#160;operations&#160;and&#160;named queries.&#160;Accordingly, conformant request and response examples better illustrate the correct&#160;implementation of the&#160;OperationDefinition.&#160;<br></div>",,,"[""Implementation Guide"",""Example"",""Recommendation""]","Yes"
"FF-41503","[Example] Example Coverage","Recommended","<div>Examples provided in the specification&#160;<b>SHOULD</b>&#160;include&#160;coverage&#160;of real world usage scenarios, as applicable to the various profiles and extensions used in the specification.&#160;
</div>","<div>Providing&#160;consistent examples for all conformance resources in the specification offers clear implementation context.&#160;
</div>","<div>An IG designed for multiple use cases should include&#160;examples that cover all relevant&#160;usage&#160;scenarios.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41504","[Example] Cover Must-Support Data Elements","Recommended","<div>At least one&#160;example&#160;covering all mandatory and ‘Must-Support’ data elements&#160;SHALL&#160;be provided.&#160;
</div>","<div>Examples that include must-support enabled data elements serve to&#160;demonstrate&#160;compliance with the expected implementation obligations&#160;for the data elements in context.&#160;<br></div>","<div>Consider providing&#160;examples for&#160;‘populate-if-known’ and ‘populate’&#160;obligation&#160;tagged data elements.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41505","[Example] Cover Maximum Data Elements","Recommended","<div>At least one example covering all mandatory, optional (as applicable) and extension data elements&#160;<b>SHOULD</b>&#160;be provided.&#160;
</div>","<div>A&#160;well-constructed, full-coverage example minimises the risk of&#160;implementation&#160;misinterpretation by showing how all elements interact in a real-world scenario.&#160;
</div>","<div>When including optional data elements&#160;in the example, consider only those that&#160;are applicable&#160;to the profile in context. Do not include all optional elements defined in the International FHIR Specification.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41506","[Example] Meet Minimum Requirements","Mandatory","<div>At least one example covering only the mandatory elements<b>&#160;SHALL</b>&#160;be provided.&#160;
</div>","<div>Minimum&#160;requirements ensure that these examples are comprehensive enough to guide developers through common and edge-case scenarios.&#160;
</div>","<div>Consider all elements and extensions having&#160;1..* cardinalities in the&#160;specification.&#160;
</div>",,"[""Implementation Guide"",""Example""]","Yes"
"FF-41507","[Example] Provide Contextual Unambiguous Examples","Recommended","<div>To reduce ambiguity and limit the number of examples included in the specification, more than one example for the same purpose and context&#160;<b>SHOULD</b>&#160;be avoided.&#160;
</div>","<div>Including too many examples may overwhelm implementers. A focused set of examples that highlight the key aspects of the implementation guide will offer sufficient context and clarity.&#160;
</div>","<div>To ensure concise and focused documentation, avoid including multiple examples that illustrate the same data element.&#160;
</div>",,"[""Implementation Guide"",""Example"",""Recommendation""]","Yes"
"FF-41508","[Example] Provide Valid, Real-World Data","Mandatory","<div>The&#160;example&#160;provided&#160;in the&#160;specification&#160;<b>SHALL </b>include&#160;non-identifiable&#160;and non-production&#160;typical&#160;real-world&#160;data that reflects common&#160;clinically&#160;coherent, safe,&#160;and&#160;relevant&#160;scenarios.&#160;
</div>","<div>Including clinically safe and&#160;typical&#160;real-world&#160;examples in the&#160;specification&#160;enhances&#160;both the usability and trustworthiness of the standard in healthcare environments&#160;and&#160;helps&#160;implementers understand how to use FHIR resources without violating patient safety or privacy and avoid incorrect clinical interpretations.&#160;
</div>","<div>Wherever&#160;appropriate, consider using publicly available test data sets&#160;while constructing&#160;examples.&#160;
</div>",,"[""Implementation Guide"",""Example""]","Yes"
"FF-41509","[Example] Provide Example Purpose","Recommended","<div>The purpose of the&#160;example, along&#160;with detailing the use case context&#160;<b>SHOULD</b>&#160;be provided&#160;in the specification.&#160;
</div>","<div>The description and purpose of the&#160;example&#160;enhance&#160;clarity and&#160;relevance&#160;within in the specification&#160;and&#160;helps the reader understand why the&#160;example&#160;is being presented.&#160;
</div>","<div>Use&#160;a short description&#160;outlining the use case context&#160;for each example&#160;included in the specification.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41510","[Example] Avoid Profile Assertion within Example","Recommended","<div>Examples provided in the specification&#160;<b>SHOULD&#160;NOT</b>&#160;populate&#160;‘meta.profile’&#160;element.&#160;
</div>","<div>Examples play a key role&#160;in implementing&#160;the specification. Inclusion of&#160;‘meta.profile’&#160;may set an expectation that this tag must be populated in production instances,&#160;which is not recommended.&#160;
</div>","<div>The IG&#160;development team are advised to&#160;Vvalidate the&#160;examples before including it in the specification&#160;using&#160;‘compliesWithProfile’ extension.&#160;
</div>",,"[""Implementation Guide"",""Recommendation"",""Example""]","Yes"
"FF-41511","[Example] Example Validation","Mandatory","<div>Only the examples pre-validated using&#160;the HL7&#160;FHIR validator&#160;<b>SHALL&#160;</b>be included in the specification.&#160;
</div>","<div>Inclusion of examples&#160;that are&#160;validated&#160;(e.g.,&#160;required&#160;fields, valid values, expected behaviours)&#160;by the HL7 FHIR validator in&#160;the specification helps prevent incomplete or misleading implementations.
</div>","<div>Use HL7 FHIR&#160;validation tool&#160;to&#160;validate&#160;the example.&#160;
</div>",,"[""Implementation Guide"",""Example""]","Yes"
